T,motor,stretch
1732009,sition: 156 ,18.42
1732059,sition: 156 ,18.17
1732109,sition: 156 ,18.42
1732170,sition: 156 ,18.42
1732221,sition: 156 ,18.42
1732271,sition: 156 ,18.42
1732332,sition: 156 ,18.42
1732382,sition: 156 ,18.42
1732432,sition: 156 ,17.18
1732493,sition: 156 ,15.68
1732543,sition: 156 ,15.43
1732593,sition: 156 ,15.43
1732653,sition: 156 ,16.18
1732703,sition: 156 ,16.68
1732753,sition: 156 ,17.18
1732814,sition: 156 ,17.93
1732864,sition: 156 ,18.17
1732914,sition: 156 ,17.93
1732976,sition: 156 ,18.42
1733026,sition: 156 ,18.17
1733076,sition: 156 ,18.17
1733137,sition: 156 ,18.42
1733187,sition: 156 ,18.42
1733237,sition: 156 ,18.42
1733299,sition: 152 ,18.42
1733349,sition: 152 ,16.93
1733399,sition: 152 ,16.43
1733459,sition: 152 ,15.68
1733509,sition: 152 ,15.43
1733559,sition: 148 ,15.93
1733620,sition: 148 ,16.68
1733670,sition: 148 ,17.18
1733720,sition: 148 ,17.43
1733781,sition: 148 ,17.93
1733831,sition: 144 ,18.17
1733881,sition: 144 ,17.93
1733943,sition: 144 ,18.18
1733993,sition: 144 ,18.42
1734043,sition: 144 ,18.42
1734104,sition: 140 ,18.42
1734154,sition: 140 ,18.42
1734204,sition: 140 ,18.42
1734266,sition: 140 ,16.68
1734316,sition: 140 ,15.93
1734366,sition: 136 ,15.93
1734427,sition: 136 ,15.43
1734477,sition: 136 ,15.68
1734527,sition: 136 ,15.93
1734586,sition: 136 ,17.18
1734636,sition: 132 ,17.43
1734686,sition: 132 ,17.93
1734746,sition: 132 ,17.93
1734796,sition: 132 ,17.93
1734846,sition: 128 ,17.93
1734908,sition: 128 ,17.93
1734958,sition: 128 ,17.93
1735008,sition: 128 ,18.42
1735069,sition: 124 ,18.17
1735119,sition: 124 ,18.17
1735169,sition: 124 ,17.68
1735228,sition: 124 ,15.68
1735278,sition: 124 ,15.43
1735328,sition: 120 ,15.18
1735389,sition: 120 ,15.43
1735439,sition: 120 ,16.18
1735489,sition: 120 ,16.43
1735548,sition: 116 ,17.18
1735598,sition: 116 ,17.43
1735648,sition: 116 ,17.68
1735708,sition: 116 ,17.93
1735759,sition: 112 ,17.68
1735809,sition: 112 ,17.43
1735870,sition: 112 ,17.68
1735920,sition: 112 ,17.43
1735970,sition: 112 ,17.68
1736031,sition: 108 ,17.93
1736081,sition: 108 ,16.68
1736131,sition: 108 ,15.43
1736192,sition: 108 ,14.44
1736242,sition: 104 ,14.44
1736293,sition: 104 ,14.44
1736354,sition: 104 ,14.93
1736404,sition: 104 ,15.68
1736454,sition: 100 ,16.43
1736514,sition: 100 ,16.93
1736564,sition: 100 ,16.68
1736614,sition: 100 ,16.68
1736674,sition: 96 ,16.93
1736724,sition: 96 ,16.68
1736774,sition: 96 ,16.68
1736836,sition: 96 ,16.68
1736886,sition: 96 ,16.93
1736936,sition: 92 ,16.93
1736998,sition: 92 ,15.68
1737048,sition: 92 ,14.44
