T,motor,stretch
1343773,sition: 100 ,15.30
1343824,sition: 100 ,15.30
1343874,sition: 100 ,15.30
1343924,sition: 100 ,15.30
1343974,sition: 100 ,15.30
1344024,sition: 100 ,15.30
1344074,sition: 100 ,15.30
1344124,sition: 100 ,15.30
1344174,sition: 100 ,15.30
1344224,sition: 100 ,15.30
1344274,sition: 100 ,15.30
1344324,sition: 100 ,15.30
1344374,sition: 100 ,15.30
1344424,sition: 100 ,15.30
1344474,sition: 100 ,15.30
1344524,sition: 100 ,15.30
1344574,sition: 100 ,15.30
1344624,sition: 100 ,15.30
1344674,sition: 100 ,15.30
1344724,sition: 100 ,15.30
1344774,sition: 100 ,15.30
1344824,sition: 100 ,15.30
1344874,sition: 100 ,15.30
1344924,sition: 100 ,15.30
1344974,sition: 100 ,15.30
1345024,sition: 100 ,15.30
1345074,sition: 100 ,15.30
1345124,sition: 100 ,15.30
1345174,sition: 100 ,15.30
1345224,sition: 100 ,15.30
1345274,sition: 100 ,15.30
1345324,sition: 100 ,15.30
1345374,sition: 100 ,15.30
1345424,sition: 100 ,15.30
1345474,sition: 100 ,15.30
1345524,sition: 100 ,15.30
1345574,sition: 100 ,15.30
1345624,sition: 100 ,15.30
1345674,sition: 100 ,15.30
1345724,sition: 100 ,15.30
1345775,sition: 100 ,15.30
1345825,sition: 100 ,15.30
1345875,sition: 100 ,15.30
1345925,sition: 100 ,15.30
1345975,sition: 100 ,15.30
1346025,sition: 100 ,15.30
1346075,sition: 100 ,15.30
1346125,sition: 100 ,15.30
1346175,sition: 100 ,15.30
1346225,sition: 100 ,15.30
1346275,sition: 100 ,15.30
1346325,sition: 100 ,15.30
1346376,sition: 100 ,15.30
1346426,sition: 100 ,15.30
1346476,sition: 100 ,15.30
1346526,sition: 100 ,15.30
1346576,sition: 100 ,15.30
1346626,sition: 100 ,15.30
1346676,sition: 100 ,15.30
1346726,sition: 100 ,15.30
1346776,sition: 100 ,15.30
1346826,sition: 100 ,15.30
1346876,sition: 100 ,15.30
1346926,sition: 100 ,15.30
1346976,sition: 100 ,15.30
1347026,sition: 99 ,15.30
1347076,sition: 98 ,15.30
1347126,sition: 96 ,15.30
1347176,sition: 94 ,15.30
1347226,sition: 93 ,15.30
1347276,sition: 91 ,15.30
1347326,sition: 89 ,15.30
1347376,sition: 88 ,15.30
1347426,sition: 86 ,15.30
1347476,sition: 84 ,15.30
1347526,sition: 83 ,15.30
1347577,sition: 81 ,15.30
1347627,sition: 79 ,15.30
1347677,sition: 78 ,15.30
1347727,sition: 76 ,15.30
1347777,sition: 74 ,15.30
1347827,sition: 73 ,15.30
1347877,sition: 71 ,15.30
1347927,sition: 69 ,15.30
1347977,sition: 68 ,15.30
1348027,sition: 66 ,15.30
1348077,sition: 64 ,15.30
1348127,sition: 63 ,15.30
1348177,sition: 61 ,15.30
1348227,sition: 59 ,15.30
1348277,sition: 58 ,16.18
1348327,sition: 56 ,15.89
1348377,sition: 54 ,15.59
1348427,sition: 53 ,15.59
1348477,sition: 51 ,15.59
1348527,sition: 49 ,15.00
1348577,sition: 48 ,15.00
1348627,sition: 46 ,14.71
1348677,sition: 44 ,14.71
1348727,sition: 43 ,14.71
1348777,sition: 41 ,14.12
1348827,sition: 39 ,13.82
1348877,sition: 38 ,13.83
1348927,sition: 36 ,9.11
1348977,sition: 34 ,7.04
1349027,sition: 33 ,6.45
1349077,sition: 31 ,7.04
1349127,sition: 29 ,7.34
1349177,sition: 28 ,8.52
1349227,sition: 26 ,8.52
1349277,sition: 24 ,9.70
1349327,sition: 23 ,11.18
1349377,sition: 21 ,11.18
1349427,sition: 19 ,11.18
1349477,sition: 18 ,11.18
1349528,sition: 16 ,10.88
1349578,sition: 14 ,10.00
1349628,sition: 13 ,10.00
1349678,sition: 11 ,9.71
1349728,sition: 9 ,9.41
1349778,sition: 8 ,9.41
1349828,sition: 6 ,8.83
1349878,sition: 4 ,8.83
1349928,sition: 3 ,7.95
1349978,sition: 1 ,7.66
1350028,sition: 0 ,7.07
1350078,sition: 0 ,7.07
1350128,sition: 0 ,5.59
1350178,sition: 0 ,5.29
1350228,sition: 0 ,5.30
1350278,sition: 0 ,5.30
1350328,sition: 0 ,5.00
1350378,sition: 0 ,5.00
1350428,sition: 0 ,5.00
1350478,sition: 0 ,5.00
1350528,sition: 0 ,5.00
1350578,sition: 0 ,5.00
1350628,sition: 0 ,5.00
1350678,sition: 0 ,5.00
1350728,sition: 0 ,4.71
1350779,sition: 0 ,4.71
1350829,sition: 0 ,4.71
1350879,sition: 0 ,4.71
1350929,sition: 0 ,4.71
1350979,sition: 0 ,4.71
1351029,sition: 0 ,4.71
1351079,sition: 0 ,4.71
1351129,sition: 0 ,4.71
1351179,sition: 0 ,4.71
1351229,sition: 0 ,4.71
1351279,sition: 0 ,4.41
1351329,sition: 0 ,4.41
1351379,sition: 0 ,4.71
1351429,sition: 0 ,4.71
1351479,sition: 0 ,4.71
1351529,sition: 0 ,4.71
1351579,sition: 0 ,4.71
1351629,sition: 0 ,4.71
1351679,sition: 0 ,4.41
1351729,sition: 0 ,4.41
1351779,sition: 0 ,4.41
1351829,sition: 0 ,4.41
1351880,sition: 0 ,4.41
1351930,sition: 0 ,4.41
1351980,sition: 0 ,4.41
1352030,sition: 0 ,4.41
1352080,sition: 0 ,4.41
1352130,sition: 0 ,4.12
1352180,sition: 0 ,4.12
1352230,sition: 0 ,4.12
1352280,sition: 0 ,4.12
1352330,sition: 0 ,4.12
1352380,sition: 0 ,4.12
1352430,sition: 0 ,3.83
1352480,sition: 0 ,3.83
1352530,sition: 0 ,3.83
1352580,sition: 0 ,3.83
1352630,sition: 0 ,3.83
1352680,sition: 0 ,3.83
1352730,sition: 0 ,3.83
1352780,sition: 0 ,3.83
1352830,sition: 0 ,3.83
1352880,sition: 0 ,3.83
1352930,sition: 0 ,3.83
1352980,sition: 0 ,3.83
1353030,sition: 0 ,3.83
1353080,sition: 0 ,3.83
1353130,sition: 0 ,3.83
1353180,sition: 0 ,3.83
1353230,sition: 0 ,3.83
1353280,sition: 0 ,3.83
1353330,sition: 0 ,3.83
1353380,sition: 0 ,3.83
1353430,sition: 0 ,3.83
1353480,sition: 0 ,3.83
1353530,sition: 0 ,3.83
1353580,sition: 0 ,3.83
1353630,sition: 0 ,3.83
