T,motor,stretch
2903424,sition: 98 ,13.86
2903482,sition: 98 ,13.86
2903532,sition: 98 ,13.61
2903582,sition: 98 ,13.61
2903644,sition: 99 ,14.11
2903694,sition: 100 ,14.11
2903744,sition: 100 ,14.11
2903806,sition: 100 ,14.11
2903856,sition: 100 ,14.11
2903906,sition: 100 ,14.11
2903969,sition: 100 ,14.11
2904019,sition: 100 ,14.11
2904069,sition: 100 ,14.11
2904131,sition: 100 ,13.86
2904181,sition: 100 ,13.86
2904231,sition: 100 ,14.11
2904290,sition: 100 ,14.11
2904340,sition: 100 ,14.11
2904406,sition: 100 ,14.11
2904456,sition: 100 ,14.11
2904507,sition: 100 ,14.11
2904565,sition: 100 ,14.11
2904615,sition: 100 ,14.11
2904665,sition: 100 ,14.11
2904722,sition: 100 ,14.11
2904772,sition: 100 ,14.60
2904841,sition: 100 ,13.86
2904891,sition: 100 ,14.11
2904958,sition: 100 ,14.11
2905008,sition: 100 ,14.11
2905075,sition: 100 ,14.11
2905125,sition: 100 ,14.11
2905175,sition: 100 ,14.11
2905234,sition: 100 ,14.11
2905284,sition: 100 ,14.11
2905334,sition: 100 ,14.11
2905391,sition: 100 ,14.11
2905441,sition: 100 ,13.86
2905491,sition: 100 ,13.86
2905554,sition: 100 ,14.60
2905604,sition: 100 ,14.60
2905654,sition: 100 ,14.60
2905717,sition: 100 ,14.60
2905767,sition: 100 ,14.60
2905817,sition: 100 ,14.60
2905879,sition: 100 ,14.60
2905929,sition: 100 ,14.60
2905980,sition: 100 ,14.60
2906041,sition: 100 ,14.60
2906091,sition: 100 ,13.86
2906160,sition: 100 ,14.11
2906210,sition: 100 ,14.11
2906260,sition: 100 ,14.85
2906319,sition: 100 ,14.85
2906369,sition: 100 ,14.85
2906435,sition: 100 ,14.85
2906485,sition: 100 ,14.85
2906535,sition: 100 ,14.85
2906594,sition: 100 ,14.85
2906644,sition: 100 ,14.85
2906694,sition: 100 ,14.85
2906754,sition: 100 ,13.86
2906804,sition: 100 ,13.86
2906854,sition: 100 ,14.35
2906918,sition: 100 ,14.35
2906968,sition: 100 ,14.35
2907018,sition: 100 ,14.35
2907080,sition: 100 ,14.35
2907130,sition: 100 ,14.35
2907180,sition: 100 ,14.35
2907240,sition: 100 ,14.35
2907290,sition: 100 ,14.35
2907341,sition: 100 ,14.35
2907402,sition: 100 ,14.11
2907452,sition: 100 ,14.11
2907502,sition: 100 ,14.11
2907565,sition: 100 ,15.10
2907615,sition: 100 ,15.10
2907665,sition: 100 ,15.10
2907727,sition: 100 ,15.10
2907777,sition: 100 ,15.10
2907827,sition: 100 ,15.10
2907889,sition: 100 ,15.10
2907939,sition: 100 ,15.10
2907989,sition: 100 ,15.10
2908052,sition: 100 ,14.11
2908102,sition: 100 ,13.86
2908152,sition: 100 ,14.11
2908214,sition: 100 ,14.60
2908264,sition: 100 ,14.60
2908314,sition: 100 ,14.60
2908376,sition: 100 ,14.60
2908426,sition: 100 ,14.60
2908476,sition: 100 ,14.60
2908538,sition: 100 ,14.60
2908588,sition: 100 ,14.60
2908638,sition: 100 ,14.60
2908701,sition: 100 ,14.35
2908751,sition: 100 ,13.86
2908801,sition: 100 ,14.11
2908859,sition: 100 ,14.11
2908909,sition: 100 ,14.11
2908976,sition: 100 ,14.11
2909026,sition: 100 ,14.11
2909076,sition: 100 ,14.11
2909133,sition: 100 ,14.11
2909183,sition: 100 ,14.11
2909233,sition: 100 ,14.11
2909291,sition: 100 ,14.11
2909342,sition: 100 ,13.86
2909392,sition: 100 ,14.11
2909453,sition: 100 ,14.36
2909503,sition: 100 ,14.36
2909573,sition: 100 ,14.36
2909623,sition: 100 ,14.36
2909673,sition: 100 ,14.36
2909734,sition: 100 ,14.36
2909784,sition: 100 ,14.36
2909834,sition: 100 ,14.36
2909898,sition: 100 ,14.36
2909948,sition: 100 ,14.36
2910017,sition: 100 ,13.86
2910067,sition: 100 ,14.11
2910117,sition: 100 ,14.36
2910178,sition: 100 ,14.36
2910228,sition: 100 ,14.36
2910279,sition: 100 ,14.36
2910341,sition: 100 ,14.36
2910391,sition: 100 ,14.36
2910441,sition: 100 ,14.36
2910504,sition: 100 ,14.36
2910554,sition: 100 ,14.36
2910624,sition: 100 ,14.35
2910674,sition: 100 ,14.11
2910724,sition: 100 ,14.36
2910784,sition: 100 ,14.85
2910834,sition: 100 ,14.85
2910884,sition: 100 ,14.85
2910943,sition: 100 ,14.85
2910993,sition: 100 ,14.85
2911043,sition: 100 ,14.85
2911103,sition: 100 ,14.85
2911153,sition: 100 ,14.60
2911203,sition: 100 ,14.85
2911263,sition: 100 ,14.11
2911313,sition: 100 ,14.11
2911364,sition: 100 ,14.11
2911425,sition: 100 ,14.60
2911475,sition: 100 ,14.60
2911525,sition: 100 ,14.60
2911588,sition: 100 ,14.60
2911638,sition: 100 ,14.60
2911688,sition: 100 ,14.60
2911750,sition: 100 ,14.60
2911800,sition: 100 ,14.60
2911869,sition: 100 ,14.60
2911919,sition: 100 ,14.11
2911969,sition: 100 ,14.11
2912032,sition: 100 ,14.11
2912082,sition: 100 ,14.11
2912132,sition: 100 ,14.11
2912194,sition: 100 ,14.11
2912244,sition: 100 ,14.11
